Nom,Propriétaire,Adresse,Code postal,Ville,Type
Librairie Riou,Alexandre Traore,"33, rue de Labbé",94658,Sainte ArthurVille,Librairie
Souvenirs Morin,Gabriel de Guilbert,"863, chemin de Robert",97230,Leblanc-la-Forêt,Souvenirs
Douceurs Meyer,Jean de Morin,"6, boulevard Rémy Bertrand",93570,Denisnec,Patisserie
Librairie Chevalier,Lucie Techer-Maurice,"131, rue de Leleu",37181,Roussel,Librairie
Restaurant Gillet,Michel-Timothée Marchal,"45, chemin de Boutin",87763,Saint Élisabeth-sur-Mer,Restaurant
Boutique Goncalves,Monique Dupuy,"135, rue Gomes",51374,Saint Hélèneboeuf,Autre
Douceurs Lecomte,Nicole Weiss,"34, boulevard Tanguy",33864,Gilbert-sur-Guillon,Patisserie
Pharmacie Alexandre,Geneviève Dos Santos,"11, rue Techer",20911,GodardBourg,Pharmacie
Pharmacie Collin,Suzanne Evrard,"901, chemin Frédéric Cousin",55261,Bernard-la-Forêt,Pharmacie
Pharmacie Charrier,Philippe Gautier,"48, chemin Ledoux",20652,Martinboeuf,Pharmacie
Aux Délices Camus,Bertrand Étienne,"40, rue de Clément",93597,Saint Gilbertdan,Patisserie
Souvenirs Dias,Gilles Evrard,"93, rue de Delannoy",39508,Navarro,Souvenirs
Multimédia Blondel,Célina Hoarau,"6, boulevard Lenoir",29702,Robert,Electronique
Le Kiosque Guérin,Gabriel Mercier,rue Denise Gomez,35785,Benoit-les-Bains,Restauration rapide
Digital Ramos,Thérèse-Jacqueline Reynaud,"21, avenue de Monnier",54520,ChauveauVille,Electronique
Snack Maillet,Antoine Antoine,"41, rue Regnier",57243,Vidal-la-Forêt,Restauration rapide
Le Livre Pinto,Auguste Pichon-Dias,boulevard Garcia,12871,Brun,Librairie
L'Encre Cordier,Valérie Benoit,"3, rue Amélie Aubry",97668,Briand,Librairie
Le Kiosque Grenier,Véronique Meyer-Aubert,"90, chemin Boyer",7698,Gaudin-les-Bains,Restauration rapide
Chez Boyer,Audrey de la Muller,"4, rue Hélène Hoarau",74708,Saint Astrid,Autre
Pharmacie Descamps,Margaux-Josette Martins,"53, rue Marguerite Imbert",38568,Hamel,Pharmacie
Restaurant Legrand,Michel Loiseau,"2, rue de Guillou",33235,Muller,Restaurant
Pharmacie Moulin,Lorraine Barbier,"949, boulevard Ribeiro",84206,Aubry,Pharmacie
Fast Ferreira,Robert Meyer,"49, chemin de Martins",87749,Bodin,Restauration rapide
Librairie Camus,André-Benjamin Couturier,"10, rue Lucie Charles",20859,Courtoisnec,Librairie
L'Atelier Sucré Guilbert,Bertrand Sanchez,"18, boulevard Françoise Caron",55230,Sainte Aimée,Patisserie
La Page Fournier,Françoise Normand,"6, avenue de Legendre",95258,Goncalves,Librairie
Le Livre Schmitt,Alexandrie Colin,"46, rue Simone Boutin",14491,Sainte Matthieu,Librairie
Boutique Souvenirs Bourgeois,Marine Schneider,"40, chemin Roger Muller",97345,Clerc,Souvenirs
Fast Grégoire,Margot Leroy,rue Inès Aubry,5211,Gay-sur-Barre,Restauration rapide
Le Kiosque Chauveau,Renée Seguin,"7, rue de Adam",6825,Martin-sur-Mer,Restauration rapide
L'Atelier Sucré Marchal,Antoinette Chartier,"551, chemin de Martineau",52434,Grenier-la-Forêt,Patisserie
La Page Lenoir,Étienne De Oliveira,"52, boulevard Victoire Martin",38393,Perret,Librairie
Pharmacie Delorme,Margot Turpin du Pichon,"88, rue de Delmas",11390,Dupréboeuf,Pharmacie
Multimédia Morin,Yves Ruiz-Jean,"10, avenue Bourdon",97319,Legros-sur-Mer,Electronique
La Table Wagner,Virginie Alexandre,"20, rue Joseph Grenier",66575,Saint Claude,Restaurant
Pharmacie Rivière,Christiane Barthelemy,"689, boulevard Sylvie Fouquet",64536,Cohen-les-Bains,Pharmacie
Snack Bernier,Stéphanie Poirier,"88, rue de Paris",56179,Huet,Restauration rapide
Pâtisserie Maillard,Margaud Gimenez,rue Grondin,49810,Munoz,Patisserie
Express Benoit,Marc Cordier,"176, avenue Perrier",97384,Sainte Christiane,Restauration rapide
Souvenirs Robert,Lucy Chrétien,"98, rue de Coulon",28379,ValléeVille,Souvenirs
L'Atelier Sucré Perrier,Océane Ramos,"92, avenue Allain",72778,Saint Lucy,Patisserie
Aux Délices Gilbert,Nicolas Vidal,avenue Victor Lecomte,58434,Samson,Patisserie
Chez Gillet,Marc-Gilbert Faure,"9, chemin Hubert",83170,Saint Paul,Restaurant
TechShop Bourgeois,Thierry Brunet,"27, rue de Turpin",89362,Brun,Electronique
Digital Seguin,Céline Merle de la Langlois,rue de Langlois,73793,Chauvin-sur-Mer,Electronique
Pharmacie Sanchez,Jacqueline-Caroline Grenier,"119, boulevard Aurélie Peltier",47170,Jourdanboeuf,Pharmacie
Chez Richard,Victoire Gautier,"37, rue Nath Barbe",83376,Tanguy-sur-Becker,Restaurant
Fast Guillet,Renée Foucher,"45, chemin Lebreton",31868,Colasnec,Restauration rapide
Multimédia Marques,Paul Germain,"63, chemin Roger Godard",89382,Dubois-sur-Mer,Electronique
Librairie Clément,Lucas Camus-Berthelot,"87, rue Cousin",28514,Schneider,Librairie
La Page Dupré,Michèle-Thérèse Lenoir,"96, chemin Martine De Sousa",34413,Grondin,Librairie
Multimédia Mathieu,Hugues de Bernier,"43, avenue de Baron",92703,Godard-la-Forêt,Electronique
Le Livre Roussel,William de la Alves,"90, chemin Lambert",7666,Rocher,Librairie
Chez Marchand,Caroline Richard,"87, chemin Julien Roux",32982,NoëlBourg,Restaurant
Pharmacie Maréchal,Arnaude Verdier,"3, boulevard Bailly",11354,Sainte Julie-sur-Mer,Pharmacie
Pharmacie Diallo,Monique du Pichon,"164, rue de Ledoux",26740,Aubry,Pharmacie
L'Encre Peltier,Édouard Dupuis,"112, avenue Marie Valentin",60398,Saint Sébastien,Librairie
Snack Munoz,Michel Guérin de la Aubry,"236, rue de Jourdan",20372,Guérin,Restauration rapide
Boutique Souvenirs Lopez,Honoré Valentin,"247, chemin Martine Antoine",34612,Teixeiradan,Souvenirs
Multimédia Faure,Alice Lesage Le Texier,"2, boulevard Coste",3883,Verdier,Electronique
Le Comptoir Fournier,Noël Paul,"34, avenue de Bousquet",62193,Lévêquenec,Autre
Pharmacie Le Roux,Caroline Renard,"57, avenue de Samson",70137,Blancboeuf,Pharmacie
Pharmacie Fleury,Céline Leleu,"808, rue Laurent Paul",46737,Toussaintdan,Pharmacie
Cadeaux Samson,François Da Costa,"84, avenue de Rivière",4745,Dupuis-sur-Lacombe,Souvenirs
Pharmacie Leroux,Robert Garcia du Morin,"8, rue Didier",91398,Munoz-la-Forêt,Pharmacie
TechShop Legros,Sylvie Berger,"426, boulevard de Letellier",18984,Sainte Pénélopenec,Electronique
Electro Leblanc,Juliette de Carre,"89, avenue Tanguy",61453,Courtois,Electronique
Express Ledoux,Michelle Pineau-Lebrun,"79, avenue Bertrand",40862,Munoznec,Restauration rapide
Boutique Collin,Paul Da Silva,"295, rue Édith Pineau",2839,Lejeune,Autre
Le Kiosque Bègue,Auguste Lelièvre,"79, rue de Boulanger",86979,Gilletboeuf,Restauration rapide
Pâtisserie Toussaint,Alex Maurice,chemin Dumas,95192,PerrinBourg,Patisserie
Pâtisserie Hebert,Henri Leroy,rue Théodore Pelletier,47541,Moulin,Patisserie
Le Livre Laporte,Édith Picard,"7, rue de Mahe",74246,Pinto,Librairie
La Page Diaz,Michel-Gilbert Martineau,chemin Margaret Morvan,20175,Barre-la-Forêt,Librairie
Multimédia Riou,Jeannine Pineau,"86, rue Weber",73467,Collet-sur-Bonnin,Electronique
Pharmacie Collet,Vincent Delaunay,"1, avenue de Renault",97439,Benard-sur-Vasseur,Pharmacie
Cadeaux Bousquet,Thierry Le Potier,"11, avenue Arthur Delorme",46849,Robin,Souvenirs
Le Bistrot Collet,Patricia Roger,"68, boulevard de Maillard",21363,Colletboeuf,Restaurant
Pharmacie Noël,Astrid Blanchard,"68, avenue Garcia",33649,Sainte Alexandrie-la-Forêt,Pharmacie
Boutique Souvenirs Mary,Michelle Nicolas,"17, boulevard de Millet",78326,Sainte Martine-la-Forêt,Souvenirs
Express Delahaye,Céline Joly,chemin Teixeira,15199,Tanguy,Restauration rapide
Pharmacie Dufour,Susanne Lemaître,"369, rue Victoire Camus",78517,David,Pharmacie
La Page Blot,Gabrielle Hebert,"25, chemin de Devaux",82467,Sainte Robert,Librairie
Pâtisserie Aubert,Michel Robin,"19, chemin Berger",17905,Leclerc-sur-Muller,Patisserie
Snack Salmon,Françoise Coste-Fabre,"12, rue Gilles Gimenez",32917,Masson,Restauration rapide
Pharmacie Peltier,Christophe Garcia,"69, rue Aubry",7229,LaineBourg,Pharmacie
Pâtisserie Vallet,Noël Pons,"891, rue de Bonneau",6844,Hernandezdan,Patisserie
Librairie Weiss,Antoine Voisin,"81, avenue de Legrand",11429,Caron-sur-François,Librairie
Pâtisserie Marchand,Thierry-Timothée Mary,"96, avenue Corinne Texier",55201,Saint Auroredan,Patisserie
Le Comptoir Dumas,Maggie De Sousa,"61, chemin Margot Adam",47256,MercierBourg,Autre
La Page Clément,Martin Pereira,"92, boulevard Guilbert",71437,Sainte Adriennenec,Librairie
Cadeaux Mace,Guy Brunel,"91, rue Descamps",61329,Sainte Camilleboeuf,Souvenirs
Supermarché Noël,Sébastien-Frédéric Gilbert,"198, chemin de Leroy",23379,Maillot,Supermarché
Pharmacie Marty,Éric Meunier,"31, rue de Robin",95643,Mallet,Pharmacie
Supermarché Humbert,Marianne Barbier,"25, rue Barbier",97189,Saint Richard,Supermarché
Marché Pichon,Véronique Seguin,"44, rue de Barre",55213,Potier,Supermarché
Pâtisserie Potier,Véronique-Manon Lambert,"19, rue Hernandez",27885,Salmon,Patisserie
Le Livre Adam,Isaac Mathieu de Mahe,"32, boulevard Maryse Rolland",64672,Guérin,Librairie
Express Chauvin,Martin Moreau,"6, avenue de Baudry",51826,CharpentierBourg,Restauration rapide
Chez Lebon,Isaac Picard,"25, rue Patrick Nguyen",75510,Chevaliernec,Restaurant
Boutique Ruiz,Geneviève Le Roux,"9, rue de Laporte",65298,Marty,Autre
Chez Petitjean,Georges Henry,"33, rue de Samson",97293,Saint Pénélopedan,Autre
Snack Barthelemy,Sophie-Margot Techer,"27, avenue Louise Bailly",35705,Sainte Corinne,Restauration rapide
Douceurs Legrand,Nicolas Sauvage de Boyer,"21, boulevard de Guillou",49573,Lenoir-sur-Rousset,Patisserie
Aux Délices Dupont,Élisabeth Lebrun,"38, avenue Henry",43831,Saint Augustin-sur-Mer,Patisserie
Multimédia Neveu,Sabine Hardy,"625, avenue Anouk Becker",43795,Roux-sur-Lefort,Electronique
TechShop Jourdan,Anouk Boulanger,avenue de Jacquet,32841,Gérard-sur-Le Roux,Electronique
Supermarché Faure,Claire-Marine Ruiz,"22, boulevard Alexandria Weiss",42932,Leconte,Supermarché
Le Livre Boutin,Bernadette du Grégoire,"6, rue Marcel Leblanc",97372,Jean,Librairie
Pharmacie Dos Santos,Auguste Collet,boulevard de Rousset,67138,Gosselin,Pharmacie
Espace Maurice,Théophile Mallet,"32, avenue de Bertrand",52473,Hebert,Autre
Boutique Bourdon,Maurice Rey de la Ruiz,"85, chemin Renée Weber",64640,Renard-sur-Mer,Autre
Douceurs Texier,Gilbert Roux,"95, boulevard Denis",36185,Maillard,Patisserie
Chez Lebreton,Claudine du Robin,"15, rue Anastasie Gaudin",47341,Faureboeuf,Restaurant
Supermarché Hubert,Hugues Perrin,"32, chemin Georges",89951,Thierry,Supermarché
Restaurant Munoz,Sophie Chauvet,rue Boucher,27955,Lévy,Restaurant
Multimédia Petitjean,Pauline Masson Le Gomez,"1, avenue Riou",79568,Saint Virginiedan,Electronique
Chez Godard,Agnès Lefort-Buisson,"52, rue Laetitia Benard",30684,LemoineBourg,Autre
Boutique Souvenirs Hardy,Antoinette Laine,"188, avenue Benjamin Bousquet",49482,Letellier,Souvenirs
Boutique Souvenirs Durand,Antoinette Barre,"6, rue Benard",69446,Merle,Souvenirs
Pharmacie Pottier,Valentine Lefort,"81, chemin Renaud",6910,Dupont,Pharmacie
Digital Gomes,Pierre Chauvin du Fleury,rue de Renault,45982,Sainte Richard,Electronique
Souvenirs Denis,Renée Alexandre,"66, avenue Jacquot",63476,Da CostaBourg,Souvenirs
Espace Petitjean,Audrey Perret,"58, rue Édouard Millet",84402,Cohen,Autre
Pharmacie Marion,Danielle Blot,"17, chemin de Bonneau",55381,Saint Marguerite,Pharmacie
Snack Diaz,Mathilde Blanchet,"30, avenue de Fontaine",17168,Merle,Restauration rapide
Espace Imbert,Maryse Jacob,"3, avenue de Lemaître",47554,Saint Éléonoreboeuf,Autre
Épicerie Chauvin,Laurence Menard,rue Didier,66496,Lemaire-la-Forêt,Supermarché
